category,filename,width,height,mode,sha256,meaningful_edge_pixels
fauna,Aardvark.png,440,440,RGBA,def503f353511e828047c30463a5d7b425af325c0673b1af85872987d637246e,1760
fauna,Abalone.png,440,440,RGBA,1ff811aca9ae33b2dbee083ce93e531543e5cc5fb28ff21a2fe3f7be2b40e622,1760
fauna,African_Elephant.png,440,440,RGBA,b3971439341ed10ca90408fbf358b7202ccb02de34594c0d59bb75428a3bbdce,1760
fauna,African_Wild_Dog.png,440,440,RGBA,d4e64ee2bd1b988182f416ee80fd238699c67e2c01fb4ebc34e4c81681139dc3,1760
fauna,Agama.png,440,440,RGBA,b8c2ce3a3ab9035a8df5266bfc4837bcacc92b35880127e74a0efb94a29c9002,1760
fauna,Agouti.png,440,440,RGBA,f56281cceb3864a8928485ea5cff521428a5d0f752a6463451a3343626d1b810,1760
fauna,Albatross.png,440,440,RGBA,62d380f69641125b065b16acf138b069394afabe3c9de1bedd749c13d392e9b6,1760
fauna,Alligator.png,440,440,RGBA,7c078afddc082ea5c1aaf78967ba28e1328d86dfbe17eb4cc0090eb9fb6bea73,1760
fauna,Alligator_Lizard.png,440,440,RGBA,38d6fb8a37919cbdde203478bd57c2463a4765d59843c897347fec6791dd1f45,1760
fauna,Alpaca.png,440,440,RGBA,76238edbee977e9722c4080cee7018bc23504463fc75cf284325ca68faf52b2a,1760
fauna,Alpine_Salamander.png,440,440,RGBA,de7c54054dd24fc10d99a46214a8ac373cb2442f1f1da445c8138e9a7c08d5fe,1760
fauna,Amphipod.png,440,440,RGBA,33051489e2e5b207191da5ccec388cb77ebe9ff514229451d88346f7f3b93bf1,1760
fauna,Anaconda.png,440,440,RGBA,99942b6487b7ea119cca972973a9a494c26e9f67591208afab51027bf87eddb2,1760
fauna,Anchovy.png,440,440,RGBA,693926de234c91d8bc76f75cfccbfbe5dfaa00c1ef20273e5e52eee28e661284,1760
fauna,Angelfish.png,440,440,RGBA,ef2db5927387819acb45fecf8eecb0aa5c0b807e48d19f1bc8ce87aec5a98ca3,1760
fauna,Anglerfish.png,440,440,RGBA,95c2521c4a45eefd92951001b8cda5fe33684c2c67ad479f537c42fb29dabc40,1760
fauna,Anole.png,440,440,RGBA,ff83e5b73ad97206cd4c7cf7f95686c00560dce4c1a963b1437564d34c8093bd,1760
fauna,Ant.png,440,440,RGBA,89e84b2f81c0d4df6950810490d946be2137d9d693f6f932ffba8819b8deb0d8,1760
fauna,Antelope.png,440,440,RGBA,d9e08092f77d78578522347bd2012f6f93e317b23cb0c417f34c73893a6c5e3d,1760
fauna,Aphid.png,440,440,RGBA,c96a679532a4f60348ae884826f2fa54ce5d5b2d513ad01edc44f12b0ba37b16,1760
fauna,Arapaima.png,440,440,RGBA,a1210baf8bfe220b52bb9864915a3840655a5944bf170c004bdce84a59890c0a,1760
fauna,Archerfish.png,440,440,RGBA,cc5ab17598bc066c6be10b7c4b9a631b22f8643760f1d12c446062dde506c2b4,1760
fauna,Arctic_Cod.png,440,440,RGBA,7bd5df60eb3969d88ec5333a95f38b412996526e1f172c5cc32b5ec01cb302c2,1760
fauna,Arctic_Fox.png,440,440,RGBA,b8b7dd3640c2759a43def16b91ab103d1e2f95a7a073b1df0d1cd605c7ae32a6,1760
fauna,Arctic_Hare.png,440,440,RGBA,1a7456bb0c55e966b6222f7f812374a57a4515b2c1ae2ffddbc8392cc4c69c70,1760
fauna,Armadillo.png,440,440,RGBA,82cb6c346f40c005ac0dfe20c7df8d85a1c48bc77b571f81f11bbad5126b2c23,1760
fauna,Arowana.png,440,440,RGBA,f180eeb2a1908d1cc292a2c5862fe7fbbcf5a4c6abf26dd62263257f55b22655,1760
fauna,Asian_Elephant.png,440,440,RGBA,e31136c00d19f54a7d1e572a3f44c128dba89b178106e23e50412292e652b6ae,1760
fauna,Auk.png,440,440,RGBA,61eb6d6153c56326d8999f125b2c00e88d1e8aeaed402f78af3767233f83aa54,1760
fauna,Avocet.png,440,440,RGBA,c14e4bbbdf1b8ae62e93ef3d42fcc7dcd0ab67d88718b57be8b2de635733b06a,1760
fauna,Axolotl.png,440,440,RGBA,29351b9849fcf0c13cdb3f09e613f7f4b577c6876f863a042165cba112391ba2,1760
fauna,Aye-Aye.png,440,440,RGBA,036247ebaf082c4fad80f1b954529e0761e18a3a576263be352aeec52365b76f,1760
fauna,Baboon.png,440,440,RGBA,b80ae4c06f89b888bd04ca489a4e4f70d9e675b35a46d27e6aee43e56f70ef66,1760
fauna,Bactrian_Camel.png,440,440,RGBA,0a3ace8887a53ae19721584c21c625ac9df16adccf3c9e1a845fb49e5d95e902,1760
fauna,Badger.png,440,440,RGBA,55626180dc49fb32bbb19e2e6512d31e7a351a5823f1c4ac7e1288f8fbeb37d2,1760
fauna,Banana_Slug.png,440,440,RGBA,11015061ff2d0f67aee5b8817bb631e7240ac43f14036e03daeb5dfae226aad8,1760
fauna,Banteng.png,440,440,RGBA,170553f18ea7caa9af59778b3b00016bc43435c94f14c609d80bc72fc146344f,1760
fauna,Barnacle.png,440,440,RGBA,1c02e404fab3d0260c3eb2f2e0841a597b2c51e80de4d514472e073e67c3a8d2,1760
fauna,Barracuda.png,440,440,RGBA,05419e3e14588f477f3d968f5113029a4a0761f2e9a938cd94057b2d8296b033,1760
fauna,Barreleye.png,440,440,RGBA,200370d1d11c33076d9a7c3bb77262a990d7dc8de25d73b56c3ce11fadc756f5,1760
fauna,Basking_Shark.png,440,440,RGBA,a20a353b277ae280b760fdac912144dc451515ae80debee9bc7709db0d5eb550,1760
fauna,Bass.png,440,440,RGBA,0664058e7a97f87a0d81e9bd7de8665fc1f58b126be2259122f7c89abbe7356b,1760
fauna,Bat.png,440,440,RGBA,d9434bbf47da957c99f9e19ce24192b951abc314da719ed67a66b3f36f864993,1760
fauna,Beaked_Whale.png,440,440,RGBA,fa0ec1dc3ec32ac9cea8fbe2b48571e7895a8d1c1eda49752cf6e947f7a1a2bc,1760
fauna,Bear.png,440,440,RGBA,aa3c46e57adb04da492bc206d4c27adbb15cc409795c67c4aaa447e068fc477a,1760
fauna,Beaver.png,440,440,RGBA,4c12c14c738051ebd657edf6709498fabc465468013b5ea99e71467171fd15ac,1760
fauna,Bee.png,440,440,RGBA,0b0399d907a007fd9da89f0b4d7845346b107f201f6e4b3ded7cec12961f5bdc,1760
fauna,Beetle.png,440,440,RGBA,64744cd6fe503d1969e189a4943033a15b45ffc7601f96eabc127ed682374097,1760
fauna,Beluga.png,440,440,RGBA,0cc86d857865bb6f6fe60a1642d95116dd9d70df16e2ca4267691624f6ce8091,1760
fauna,Bison.png,440,440,RGBA,b19a0c31416bfe70fad42dc3329e06e0cef2b9b583115f7ae48887bed8a9de3d,1760
fauna,Bittern.png,440,440,RGBA,ecf7201b7aeee0b371176925fcb94b603196146cefc2f357c22de67a533d2070,1760
fauna,Black_Bear.png,440,440,RGBA,4bcef068d4e0a92ef15633ba6669943a12aecccab552539a04b8c11b0cd4a543,1760
fauna,Black_Fly.png,440,440,RGBA,edf5151f6b49eca10e2e1e69a93e6882ed66c4779352d92a259ed35f6bef4ee3,1760
fauna,Blenny.png,440,440,RGBA,6c0d18eca10ab3355c7b4c005df1d8849f53275a724409923c2997b5e90abd7a,1760
fauna,Blind_Fish.png,440,440,RGBA,d559e28de9a5b688f5bc43c7522879bda15e514a751e899894d4f8a627840f85,1760
fauna,Blind_Salamander.png,440,440,RGBA,dadec0cb7503d561762979dd1b190d65350b00f1ca1aaf850653de831970d2fd,1760
fauna,Blobfish.png,440,440,RGBA,2a1b157075d7c53c5b59589f9fe8a34661b0f3d09bb157a128711659e22b1c35,1760
fauna,Blue_Whale.png,440,440,RGBA,7170fefd4c5c606f8924ff27297796d0535d5925ef48ce6690f642566003eeff,1760
fauna,Boa.png,440,440,RGBA,e5a0483272b77e3444ee4effbb7d709367afb1fbaae372faddeb69b02aedbfae,1760
fauna,Bobcat.png,440,440,RGBA,3f48a1af929b7a9f5c9fbe9a5c074bd73ed512163b108a63a0e1348d919c9808,1760
fauna,Bonefish.png,440,440,RGBA,484c5eecdc2d487cc5f2c2d736622427befd8f63f10a90f37bce6804ffdfa069,1760
fauna,Bongo.png,440,440,RGBA,0236d9fdfe39d8d16b84801cc3ab154823879b7a395abb489c4238be54cf0fb3,1760
fauna,Booby.png,440,440,RGBA,c848534a938b237119f9a14f4005b2f8b6bef6b0d25bae5d83e09933d881aaf1,1760
fauna,Bowfin.png,440,440,RGBA,b708596686b73f7bccc20f3120c8ee9a0b8bbbb24ae0c65c1cf8608deec12ced,1760
fauna,Box_Turtle.png,440,440,RGBA,7a3c3ad6fc46e1be722b0e160d3c845d4b683018add36b6630bfbf1822de5618,1760
fauna,Boxfish.png,440,440,RGBA,ed19717ac50561982ae133c920068cc3646fb5babc6d5801e34cb006a889cbfb,1760
fauna,Brine_Shrimp.png,440,440,RGBA,ee1e0c52022c3fd6ccf1c197ac8e118fa3ac05a3b7e6b8183aa4b8b696fb0416,1760
fauna,Brittle_Star.png,440,440,RGBA,e7e07205e6ee165c6268a3bbf798f4b07241527a709fcfee57f9be372bb289fc,1760
fauna,Brown_Bear.png,440,440,RGBA,0cfd0e3ff50b83f590ed9175af300d7d5e50f05e540ed0632df15c948e08877d,1760
fauna,Buffalo.png,440,440,RGBA,0695bd38af5b84d487eae02e0c070713c1670ace699073ff12dac51bb17e8271,1760
fauna,Bull.png,440,440,RGBA,1a0bea2ee8820686d4ba4f255c92fa68dfbd14952472d4f1b57f447876f1b861,1760
fauna,Bullfrog.png,440,440,RGBA,8bb7bb9b70d72d7b427f361b09ded635d0f132ee394600dbceba6c517ea9ae6e,1760
fauna,Bumblebee.png,440,440,RGBA,c2a54c03668df104b2a01b5754dbdf37f78d06c9eb9b66076f9ce13ceaf13a1c,1760
fauna,Bustard.png,440,440,RGBA,93ae2018515deed8233a6617ee5b26491f487a75fd7f0eeb775e5a75cb504978,1760
fauna,Butterfly.png,440,440,RGBA,7d20c738ae3c0f6cb2237eee3c117ae0e30cc9efd765e2edd4bd6cd0d133ee54,1760
fauna,Butterflyfish.png,440,440,RGBA,d1b78f1b6445b05cd1c90ebf3c2c3e945d1beed1eb3686bcb3530e617a6f5f46,1760
fauna,Caddisfly.png,440,440,RGBA,10427de7dc121d072fff7da210c4a896e0b51ef33777ff936cb4f2d192e5ef62,1760
fauna,Caecilian.png,440,440,RGBA,88a8f0ddb582ae0b253d52b3ca324d86580322ceb4468aa400f52ad8ab5640d9,1760
fauna,Caiman.png,440,440,RGBA,ed108521c830cbdb987d5404ddde1aa4a4d4f1906e053452d543f926dd0cabd0,1760
fauna,Camel.png,440,440,RGBA,1afa7ded82a4bacfb5ed4fd3ba0d1d39ed3756b1b2f9294a464ab4280db2bc85,1760
fauna,Camel_Spider.png,440,440,RGBA,225a79fe184e37107ae7789df1a491eb357d2f37a49578eb4099fb6da3112dfa,1760
fauna,Capuchin.png,440,440,RGBA,f5cd3163d1d0833a956b394682fefe7c4bf886ca2e79e55e900d4b6766983419,1760
fauna,Capybara.png,440,440,RGBA,db3d4fb5a5c54577f3b7e5c25d82ded4a4c8fcab0cd8de7df06bcc909edbdf8f,1760
fauna,Caracal.png,440,440,RGBA,66f6d9e1351f7bad443aa03f540510eff4f567e0ade4394b28dd6ea060db7ede,1760
fauna,Cardinal.png,440,440,RGBA,a529e4d43591c90b2dc5b0c55e72db6a1778e40219061dc30e551ecd0fd3a416,1760
fauna,Cardinalfish.png,440,440,RGBA,772946fa20ef1d897b10e2c17d3e238fc5406f890557338745ad7f689bd5f0d7,1760
fauna,Caribou.png,440,440,RGBA,31b3e36298774aaacd38a41db0d8a4f81bbb8004c4bf1f4856ee7cd72385dcb8,1760
fauna,Carp.png,440,440,RGBA,29511817ed8bf7e550b2a2d93e0b8b5565046c283ad527b7efe508336e95e728,1760
fauna,Carrion_Beetle.png,440,440,RGBA,df20680298fb50c9d7541ae25992fbfc30826cfa0482a87047fed806ba5e9ce6,1760
fauna,Cassowary.png,440,440,RGBA,f3091108f6b11d098483a175b5fd7025423b697958a35c8aef2d8b4e48847db8,1760
fauna,Cat.png,440,440,RGBA,f07a2ec3b4b407e9af487fb641c28253f339edb29a6246eeb393ebc27b3aed0e,1760
fauna,Catfish.png,440,440,RGBA,9e4b3da85c3408d6f8ec9ae83108325da97930a8066f9384ed698eb3ce03c3f3,1760
fauna,Cattle.png,440,440,RGBA,5da405ab7458590f86d50a192381b2e659d5194980d0b36a5e1919914fa30ef6,1760
fauna,Cave_Cricket.png,440,440,RGBA,9ae922b9fb669fe74192806f8ca71aa6b700eb6214cba488660e4dbd1d4eb908,1760
fauna,Cave_Fish.png,440,440,RGBA,66580ec529ff7fbcc4777f66ab106649de5b2a474a6247f3faa5f659299a42a5,1760
fauna,Cave_Frog.png,440,440,RGBA,0da6bdccf2ef7e459a008d569142eb00903ce85728e2cf1cf6151235181a7802,1760
fauna,Cave_Shrimp.png,440,440,RGBA,8f0fa781a8cdb85b39705459c03646d4f5f677fbcbe544d4e5b310573dbdab18,1760
fauna,Cave_Snake.png,440,440,RGBA,ca03561cd94ce03d32504f5ea8421d316af3d30cf9c49662f571aa04b5407e76,1760
fauna,Centipede.png,440,440,RGBA,fe8601319eeba7c54aed841abd049df63bb2b549e050c35089d0a07c9a5b0a92,1760
