filename,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5
Bergamot.png,Brooklime.png,Mint.png,Cloudberry.png,Licorice_Root.png,Buttercup.png,0.8715137839317322,0.8573715686798096,0.7568466663360596,0.7476574778556824,0.7321931719779968
Bilberry.png,Yerba_Mate.png,Bog_Rosemary.png,Juniper.png,Wild_Guava.png,Tea_Tree.png,0.8187754154205322,0.7925269603729248,0.7663190960884094,0.7633973360061646,0.7618527412414551
Birch_Sap.png,Tamarind.png,Mesquite.png,Lemon.png,Apricot.png,Cashew.png,0.943886399269104,0.9429922699928284,0.9406582713127136,0.940217912197113,0.9273023009300232
Bitterroot.png,African_Ginger.png,Sea_Purslane.png,Arnica.png,Edelweiss.png,Aloe.png,0.8827120065689087,0.8628711700439453,0.8624826073646545,0.8542169332504272,0.8458538055419922
Black-Eyed_Susan.png,Thyme.png,Water_Mint.png,Alpine_Mint.png,Miner's_Lettuce.png,Sea_Rocket.png,0.9129920601844788,0.8698028326034546,0.7740941643714905,0.7162551879882812,0.6536502838134766
Black_Grape.png,Grape.png,Passionflower.png,Melon.png,Ivy.png,Wild_Melon.png,0.8218488693237305,0.8065831661224365,0.7897414565086365,0.7885053157806396,0.7866314053535461
Black_Pepper.png,Vanilla_Orchid.png,Water_Spinach.png,Black_Grape.png,Beach_Pea.png,Passionflower.png,0.774821400642395,0.7476618885993958,0.6560449004173279,0.6445744037628174,0.6200127601623535
Blackberry.png,Dulse.png,Seagrass.png,Raspberry.png,Sugar_Kelp.png,Rose_Hip.png,0.7868862152099609,0.7739790678024292,0.772032618522644,0.7698935270309448,0.7676922082901001
Bladderwrack.png,Giant_Kelp.png,Wakame.png,Sargassum.png,Red_Algae.png,Coralline_Algae.png,0.9839896559715271,0.9829050302505493,0.9824040532112122,0.9798061847686768,0.9743828773498535
Blueberry.png,Mountain_Cranberry.png,Currant.png,Hazelnut.png,Wild_Guava.png,Dulse.png,0.8609333634376526,0.8304979205131531,0.8214136958122253,0.8142476081848145,0.8103561401367188
Bog_Myrtle.png,Desert_Sage.png,Labrador_Tea.png,Serviceberry.png,Currant.png,Hazelnut.png,0.7113962173461914,0.7048264741897583,0.6989862322807312,0.69767165184021,0.6950995326042175
Bog_Rosemary.png,Juniper.png,Bilberry.png,Rabbitbrush.png,Dulse.png,Wild_Guava.png,0.8382344245910645,0.7925269603729248,0.7859174609184265,0.7826599478721619,0.7807211875915527
Brazil_Nut.png,Redwood.png,Crabapple.png,Eucalyptus.png,Avocado.png,Neem.png,0.9051288366317749,0.8946059346199036,0.8837452530860901,0.882027804851532,0.8731247782707214
Breadfruit.png,Maple_Sap.png,Chestnut.png,Peach.png,Yew.png,Cedar.png,0.9206139445304871,0.915753960609436,0.9124045968055725,0.8994457125663757,0.8992710113525391
Breadnut.png,Mesquite.png,Yew.png,Rambutan.png,Jujube.png,Acacia.png,0.9254984259605408,0.9251340627670288,0.924118161201477,0.9232452511787415,0.9227809906005859
Bromeliad.png,Plantain_Herb.png,Agave.png,Bitterroot.png,African_Ginger.png,Aloe.png,0.7694268226623535,0.7667534351348877,0.7584748268127441,0.7551410794258118,0.7263370156288147
Brooklime.png,Cloudberry.png,Anise.png,Licorice_Root.png,Buttercup.png,Bergamot.png,0.8816206455230713,0.8800168633460999,0.8776120543479919,0.8744899034500122,0.8715137839317322
Buckwheat.png,Poppy.png,Potato.png,Chamomile.png,Fennel.png,Sunflower.png,0.8838433623313904,0.8760360479354858,0.8737188577651978,0.8697102069854736,0.8686569929122925
